"age","value.Polygenic risk score","low.se.Polygenic risk score","upper.se.Polygenic risk score","value.LDL Cholesterol","low.se.LDL Cholesterol","upper.se.LDL Cholesterol","value.Smoking","low.se.Smoking","upper.se.Smoking","value.Age","low.se.Age","upper.se.Age","value.Systolic blood pressure","low.se.Systolic blood pressure","upper.se.Systolic blood pressure","value.Total cholesterol","low.se.Total cholesterol","upper.se.Total cholesterol","value.Body Mass Index","low.se.Body Mass Index","upper.se.Body Mass Index","value.Male Sex","low.se.Male Sex","upper.se.Male Sex","value.HDL cholesterol","low.se.HDL cholesterol","upper.se.HDL cholesterol"
38,1.6768855782234,1.2410024714632,2.26586594879073,1.91845188071134,1.50338919707054,2.4481070010191,1.82988421675643,1.13508592672988,2.94997600435506,1.16473988221693,0.861061361140633,1.57551953257967,1.47231760570757,1.17153899004447,1.85031753146704,1.9104025082851,1.47877201286287,2.46801921588736,1.36242986095867,1.12777345852068,1.64591134150886,2.91624734535202,1.70034786999593,5.00162274399359,0.540925343872388,0.404468955155802,0.72341825970488
39,1.59596690362662,1.17626715317594,2.16541824754205,1.60856786333225,1.26870460823479,2.03947440101552,1.73729869276619,1.09180254087639,2.76442546604112,0.808579198663861,0.607699672376217,1.07586090668012,1.42170035538934,1.14118759777264,1.7711653232643,1.55459756083993,1.19759834514181,2.01801679667758,1.29820419567824,1.07544790957336,1.56709973460748,3.60215052488963,2.08619214837905,6.2196995679638,0.571366888862145,0.437153625173685,0.746785804551664
40,1.65758461577662,1.2392746194902,2.21709273735436,1.38905874588225,1.10656026698911,1.7436774634625,1.97693360198465,1.26279227433979,3.09494011491265,1.13295407975509,0.857895132578628,1.49620262207987,1.38128047592887,1.09263965769147,1.74617106358136,1.22798231969759,0.953927864983131,1.58077002763362,1.25983262978483,1.0539193131096,1.5059770091769,3.24523060466644,2.0032315030333,5.25726640256845,0.505353783761626,0.383571865211764,0.665800779265184
41,1.62906501669731,1.25618796221457,2.11262399294804,1.44458366487264,1.16059386690605,1.79806392599677,1.70537494869349,1.1175297052071,2.60243974015199,1.1126767445267,0.849082415528982,1.45810290634653,1.47469479826715,1.18575083169394,1.83404868030277,1.31392117396691,1.02977256280504,1.67647586831796,1.30604879812121,1.09536183587971,1.55726026523822,2.94441939990887,1.87486714303595,4.62411730599808,0.523706291576577,0.402651539388798,0.681155423503942
42,1.55501867423808,1.20692451451725,2.00350813008082,1.6272471094313,1.34150987351675,1.97384544640807,1.78455861151259,1.19086664673819,2.67422842569871,1.0330268499131,0.805506686316639,1.32481143951906,1.43185825523041,1.1596175790644,1.76801223100259,1.47594561143203,1.19675998249631,1.82026093767067,1.30106386094675,1.11634576847866,1.5163466535718,2.83817413107836,1.84511171852016,4.36571526670643,0.405211404392191,0.306916574620455,0.534986689632332
43,1.55632162049079,1.17446004253299,2.06234090449191,1.9215766970877,1.57166037239552,2.34939880628436,1.3286989343283,0.84823263027714,2.08131684053269,0.982177004883205,0.760253512778837,1.26888156740681,1.34493308089722,1.06553877617975,1.6975872042657,1.70021874536631,1.38725184226074,2.08379163323659,1.27220607648843,1.07941867890702,1.4994258786525,2.84849618258625,1.7820387570973,4.55317285883554,0.488527972637099,0.3758502635197,0.634985799435005
44,1.75690693619832,1.32579213735823,2.32820960049768,1.64559019535619,1.34941602009952,2.00676963272802,1.77827571240774,1.15880032775923,2.72891233596226,1.05964462199362,0.813556831304294,1.38016999146803,1.13640731181797,0.90692776242132,1.42395197485796,1.44608220521619,1.1743755311753,1.78065166442128,1.18948434110002,1.00655651916541,1.40565678209038,2.62021528564335,1.6859097735264,4.07229867868819,0.50330032640184,0.392780425886026,0.644918132019396
45,1.81227644035857,1.39461031781959,2.35502767641477,1.74767686960792,1.4298767406811,2.13611030493974,1.70169808793138,1.13286567779127,2.55615157139827,1.09361892535053,0.855453736931621,1.39809121434752,1.14735137785029,0.93331421128973,1.41047373792352,1.5910151996224,1.29919494864118,1.94838301063056,1.21393303207387,1.01044459329523,1.45840100104281,2.04273840049559,1.35422594963006,3.08130277225834,0.632436228444552,0.507150613309775,0.788672186431644
46,1.62164796836757,1.23990845293479,2.12091636853206,1.61875986288842,1.33247565985992,1.96655261528304,2.34457854478959,1.55745002612938,3.52951841822438,0.955064535848075,0.744499674640546,1.2251828962519,1.23756015194424,1.03238419049637,1.48351276954744,1.6271512873488,1.3274849311944,1.99446430592523,1.23422485204015,1.01931207719301,1.4944500506542,1.58444137501823,1.06315320033459,2.36132898822068,0.708535162020413,0.56889573744078,0.882450056802457
47,1.36890796235949,1.05094374471498,1.78307261338657,1.66126403043476,1.3971541336072,1.97529972708955,1.99880040998855,1.34068578927025,2.97996973708883,1.22108896414308,0.959632897219894,1.55377984922327,1.31647192455988,1.10078217892347,1.5744244059704,1.69938024832488,1.41510962761086,2.04075583407087,1.20397483069519,0.983756257474803,1.47349039148007,1.85339033785297,1.24162376667665,2.76658343424036,0.800580657708178,0.649421885215276,0.986922991183146
